Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
貓村‧艾斯特,127,5201,7,25,https://www.youtube.com/watch?v=iiGHq2EQ1iE
星之川倷緒,127,0,0,0,
歸家WANT！,122,1068,109,305,https://www.youtube.com/watch?v=8EiwnG6wUsY
DeeDoo,116,1442,159,426,https://www.youtube.com/watch?v=iKsWFSR8ah0
鴉,108,750,2,2,https://www.youtube.com/watch?v=EwQePGu3pJ4
愛夏香音,107,637,93,134,https://www.youtube.com/watch?v=J0tHTW2EKi8
帕芭,105,334,344,344,https://www.youtube.com/watch?v=x226t1Zwu1M
白秋澤,103,1291,28,31,https://www.youtube.com/watch?v=hFaQ4whM8gA
粟米,102,0,0,0,
波牙克,99,3617,148,782,https://www.youtube.com/watch?v=ehJYMeNcDtI
凪沢ねろ,93,605,0,0,
魍魎部,75,744,82,197,https://www.youtube.com/watch?v=4Hm0yduy8TU
肉粒,73,0,0,0,
闇雲あくり,62,829,0,0,
金架海拉,56,0,0,0,
薩利赫,55,247,0,0,
伏尼狐狸,54,0,0,0,
迦蔻天,48,60,60,60,https://www.youtube.com/watch?v=CKabYvpAuT8
浣路網熊,39,277,0,0,
角獣ヌオ,31,102,104,104,https://www.youtube.com/watch?v=57pr7rU4k-4
八重「雲」,21,0,0,0,
Rizumu,3,0,0,0,
車車,0,1165,108,146,https://www.youtube.com/watch?v=1uJfFQefXJQ
冷嵐,0,5636,15,15,https://www.youtube.com/watch?v=f9swuTzUyrc
MitsuAki,0,408,0,0,
醬油Mochi,0,117046,1351,3599,https://www.youtube.com/watch?v=ZS-QOmiS0DE
奶茶,0,4726,86,130,https://www.youtube.com/watch?v=iDVvjWmf0P0
