ID,Display Name,Alias Names,Youtube Channel ID,Twitch Channel ID,Twitch Channel Name,Debut Date,Graduation Date,Activity,Group Name,Nationality
## VTuber Group Official Channels,,,,,,,,,,
5cb1c062f5f94b44a41ae658f4a53f0c,黑野悠真,,UCW21m4m4Sqg5eM2EEh-o1JA,,,,,Active,,TW
3727892a417b429aa063c7300e132966,櫻坂くりこ,,UC9gLGP1Al6npy1XiypTQ9Wg,,,,,Active,夜貓森友會,TW
c66b9a1fe8bf44e388e9452285e5421e,大鳥哈維,,UCkvTnL2wI12H5ttA3QuHfow,,,2021/6/6,,Active,,TW
f40b8e8debf14680b5cc88bae98918f7,燎漓,,UC__FHKqTFfn6Zg6xHHWgnCA,,,,,Active,ReLive Project,TW
96be1e561acd4a75817c6424d9d4f9f0,希爾艾姆,,UC7uqtUmvZTvLY5WbH_oBw_A,595715123,hirum0405,2020/10/26,,Active,,TW
99c16e8b8a8540d191a2dacac43f1fa3,來來未夢,,UCgqSaGuYD9aIyGDL0HL2dRQ,,,2021/6/21,,Active,夢遊天使Myu,TW
468c9630d37b4c41bb6b0305dc1143cf,鴨鴨山,,UCDHM_49YlYNTCvACcool0Gg,531016518,kamoyafighter,,,Active,,TW
575d15d21f7240e1ad72935bf7fa0465,夏羽由里,,UC5UUZ6-jkMocoHX7sJ6DlcA,,,2021/6/2,,Active,夢遊天使Myu,TW
1edf4940878546569e52dd06c95b8581,雪莉·啵啵,,UCeIi12njfSExM8V6LGdTrFw,,,,,Active,,TW
7cecb437e7a54e07a29c3a164565957d,可莉 露,,UC5r25R9cBLt4xJ7IczlytHw,,,2021/7/2,,Active,,TW
54b0131ceb734643b23b1eefee31cca0,雨恩,,UCsQ0mN276VojOuR4PyNDX7g,796097594,0501_yuan,2021/2/14,,Active,,TW
751596501f4f420a8a5c5c9d839efb22,白狼ゆざい,,UC3EbIzDPqAFX_Qh6dV_komA,537946099,shiroiokamiyuzai,,,Active,,TW
824bd7df6923453292dec9ff3e3f664a,水母暮暮,,UCDL212a4xEKwwNexFc5IUIQ,,,2021/4/9,,Active,,TW
cd88de8b4bc84a71975df9afb42192b8,庫麻,,UCUMwanMztK0Y-T-ns3bMR0g,794911036,kummanote,,,Active,,TW
4720c4b95e7d4cbea3f5a0a5e523fe4d,星空朵莉,,UCsbNbQh3IEUkztXrV3bRBDA,,,2021/7/10,,Active,拍咪呀,TW
ac2b3c839ed14b12af1acecf322a15bd,夜見愛夢,,UCgYobGgRQSOS2NMbNAGKtuw,,,2021/2/19,,Active,,TW
3f4650e05ceb41008bd16869780b7af1,水羽ほむら,,UCt3sb-VzKeQtomYXqAqaKPw,,,2021/1/10,,Active,Smilelive,TW
96fc771ccb55485bb770997ec43e1ce1,音湖藤淺歌,,UC8Q_Oy0x1xLC4WBb0RWVrTw,,,2021/7/24,,Active,星奏工作室,TW
c79ef93aca644e7083eeb8196e5cee85,壹壹,,UCcB8PaA3MpAIU-02vOWWDhg,418228058,11yiyir,,,Active,,TW
7748d3ab76f34e06abb9d116bb432de2,斯魏,,UC-A_vq9g1vuuvguOuu12acw,88628624,aceway1102,,,Active,,TW
fefbcad20d8344c79c74a103d0ea45b2,喵控,,UColGLoTgNEZJg5eW7KZnUJQ,,,,,Active,,TW
cd44db2c12a54568963299704aa8d4a6,羽幸コモ,,UC7da2s8g7FXNsjiwEEGgYbg,,,,,Active,,TW
bd9c7d2e96094ce7b8ca032228bb13c7,白色砂糖,,UCRy4Om8mlek-PSuaGcaddoQ,,,,,Active,,TW
a462ab3186bc4830be89635acd0a7a1a,白蛇梅伊,,UC9Ife_inavJMm9CKKRhzg6w,,,2021/5/22,,Active,wander²,TW
80f4d6e50af64a48be812258498e86c0,林美靜,,UCn_nbyxe2OKrkdutInVbLWg,679476565,hayashimishizu,,,Active,,TW
592e95fcfa4e4610959b5635e449813d,可諾莉,,UCRi_JcuKneF0wUCC2zKIX0w,421663319,holymolyet,2020/12/16,,Active,,TW
93e7079bd21c499f9004e79d18489d28,砂糖,,UC7fLSw4NeZwViAz7oX54Mlg,50976522,inukami2266,,,Active,,TW
8150f530d858418282811429cc32622b,欣希亞,,UC6Tm95waoh3j4xT9vYsM4sQ,49843653,mengcynia,,,Active,,TW
c40a8ff66b3348dc8459766b74846feb,茂矢門,,UCG1CCGxoUUJzPeCdsDk3B2w,28117764,moyamon53,,,Active,,TW
15bb576dcd8d45d397905a896e3e25f8,神火娜娜,,UCUFifamRdDTxihQ1tmJcR-g,,,2021/6/26,,Active,RaZerStar,TW
9c913230c732455c9604dae9ebcfa64e,貓耳小宇,,UCFlS1oO__x1JM8Z-0iUR14A,28110773,amosyui,,,Active,,TW
a99bc695c89d41e391a5abf6e781c911,Salty Ian,,UCCihPFnCKXL6XjJOnerFp1A,,,,,Active,,TW
25904d8b82c84d74a8abffb804647e21,墨子,,UC17uKGuqg7x6emXUIVvylSQ,71736391,sum1ko_vt,,,Active,,TW
07b9e0f7118446be96cc2d12f5d8ad02,紅茶拿鐵,,UCUQ5NMAU3sUXVjipTmNiDTg,95388539,latteda_,,,Active,,TW
76cafd8f4f5e41cbad5e0520520fcc1b,小闇,,UCvqipeBytPdue6nHR1y-l2w,,,,,Active,,TW
4f93fe928d264a299c6589e09fbda21e,CiCiCi cirycle 的 荒荒荒,,UC1VHup-b6HHii5i_zeMHUpw,,,,,Active,,TW
