VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
7c00b7dc73a240dc84d68be389732a0c,15500,625296,716,312,4949,https://www.youtube.com/watch?v=4StrBPUJTiU,0,0,0,0,
a9b855767b2d432c9f263e3427ff33a6,15500,198063,10265,7540,40479,https://www.youtube.com/watch?v=liQKZVPCcrw,0,0,0,0,
7a88afc5eb644d76b35ed4ca968259bb,15100,715741,4764,2706,6363,https://www.youtube.com/watch?v=_psWYy9Qvmw,7294,712,575,732,https://www.twitch.tv/videos/1640525561
951dd0b605d04163b38de18262e9a438,15000,303536,472,281,662,https://www.youtube.com/watch?v=zr8z0VSaFPc,361,125,105,298,https://www.twitch.tv/videos/1642982997
5ba11a0bf35147d499259ad5608a7de1,14800,503447,1105,597,2630,https://www.youtube.com/watch?v=oWjEMEos5NQ,2541,536,419,579,https://www.twitch.tv/videos/1637739513
626750f4e7a745619c171c44fb1efcc0,14500,1144012,987,597,12665,https://www.youtube.com/watch?v=BLBkAPWyE7w,3830,205,157,449,https://www.twitch.tv/videos/1644394308
8267ea37c12a471a8a038f501832e099,13800,541808,608,292,1914,https://www.youtube.com/watch?v=AQiQeEY0NQ4,0,0,0,0,
af9cab022b2d4d1cb7e57246975842c4,13800,599142,0,0,0,,0,0,0,0,
f928118054aa4e11aa4ec88504d8b886,13800,308078,1752,294,1834,https://www.youtube.com/watch?v=vyfROBj5wQk,0,0,0,0,
f7c8264349654390a5e39810dc012a38,13600,624692,397,143,611,https://www.youtube.com/watch?v=lok14MFvzqA,0,0,0,0,
f4cc8258f66e4276871f213aeaf93fbb,13600,206381,254,230,254,https://www.youtube.com/watch?v=wwseoPV5m9I,2332,349,300,646,https://www.twitch.tv/videos/1643059910
77533b0fb2324e33bff67fbbf4daf13f,13200,3221580,353,105,672,https://www.youtube.com/watch?v=t2vsPbJqyXc,1443,21,14,22,https://www.twitch.tv/videos/1636702789
efe550a729e14dbab790a3f73205d8ed,13000,446581,669,343,1077,https://www.youtube.com/watch?v=YxMdeMNupH0,0,0,0,0,
da4a58b114b94469a0a93f6b8ee7512d,12900,458164,784,30,910,https://www.youtube.com/watch?v=oV613fshKvk,13564,446,346,863,https://www.twitch.tv/videos/1645026672
9e351b7cdabd45c49c64074bc7d947ce,12800,1007187,1024,598,2716,https://www.youtube.com/watch?v=1SO21NG0EjU,0,0,0,0,
49bb221fc77f440cae0c007a73f99aab,12100,341799,1469,599,2454,https://www.youtube.com/watch?v=lcF6eddDYWA,0,0,0,0,
e150e350532b4327b26989dd43cd3bad,12100,313723,906,451,1696,https://www.youtube.com/watch?v=ilPttURYhMA,55,0,0,0,
