VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Thumbnail URL,Twitch Follower Count,Twitch Thumbnail URL
0641a9c8b9a94994aaa33e0c86fef75b,89900,9955177,https://yt3.ggpht.com/lQaEUeJlLtgioCU0npPsaYOLzg2idrzG0XY_jn-fjPOySnv4nN94U0rCTt5shavBR9brK-e6Tg=s88-c-k-c0x00ffffff-no-rj,4088,https://static-cdn.jtvnw.net/jtv_user_pictures/dc40cc71-e079-46c7-a834-75f055eebf2e-profile_image-300x300.png
0665fb3db61c43b5933f1de118625382,17300,1085909,https://yt3.ggpht.com/PfGrxN6rGCpfMvstl1vEk67Ik5u9G5221nbH_-eNuEXAF4cj9rjHQGBUhnBbGoKQ6LvAgeY-ug=s88-c-k-c0x00ffffff-no-rj,,
0693a90c3539472db663f0f8cac9ee37,1670,52649,https://yt3.ggpht.com/EbG_WyRsjhK2lSjCATeyFCGUn5BgpsLwBKXOPiuyRqaWi-skRv8BCZ3seeCcBUqUJavGf6h04A=s88-c-k-c0x00ffffff-no-rj,629,https://static-cdn.jtvnw.net/jtv_user_pictures/9cd01e9c-45d4-4ca6-a31b-63a1023c64d3-profile_image-300x300.png
069ca07d5dd84cd3bf42e21a085d98fb,3480,24852,https://yt3.ggpht.com/ecRAzoha2H2EKR9yamcrMyZWqFRqb0vVzrCbzWa6ZDa568373r_Zb7pJkeX49Kr6IVDJy80YgQ=s88-c-k-c0x00ffffff-no-rj,176,https://static-cdn.jtvnw.net/jtv_user_pictures/07b21187-7207-481c-ab5f-60171151035b-profile_image-300x300.png
06a61409f4334b0eb8a5f647b819c78b,809,47546,https://yt3.ggpht.com/TbBnMRaxZyLAnZv7vk0b8hDfrzBr5VUSBPbgL-KswDTZO0Xqeg6xC37ZwC4lplYt8v-Lmnj4rA=s88-c-k-c0x00ffffff-no-rj,,
06e9953eb191486d979e6b92b6601d9a,2740,824930,https://yt3.ggpht.com/GSzXDlyMCu7TfZN24wvGDzwwohTOc8EQb6bZoWBvtsQAbqToU1dmPORNvPdtXrujwU3__ugE=s88-c-k-c0x00ffffff-no-rj,2260,https://static-cdn.jtvnw.net/jtv_user_pictures/oipceo-profile_image-ee8f6b6abed242c8-300x300.jpeg
0715c3b900ad423fa1b981cf4fc15c8f,3680,86719,https://yt3.ggpht.com/6vDUhmwmHSif5Rh6odIY4edDVVjwE0WM6oJQL7WQq-R62nZBVyDhWXI8td1PJKrsE4X2seF8wg=s88-c-k-c0x00ffffff-no-rj,,
0737e12eaffb420ca4a5b43b0786e69a,607,21038,https://yt3.ggpht.com/7fvvGu9PegcZoNvJ6FozU0QPiFNMVJFlhNq2_Znwbhf1XlUnPE6yR55xNO7P2LxQkJWh9DJJKw=s88-c-k-c0x00ffffff-no-rj,,
07930a961f0b4078a14f0a57f0a93965,266,17752,https://yt3.ggpht.com/oc9GgRyzYluuAYGFFRmDMWVR7ODjNp2H5VEj_4cQESAHds4UyDK2eqmdpxr6Ii43ji0-246i=s88-c-k-c0x00ffffff-no-rj,,
07ad147bcc7b4bf381e697e2c5578404,109,3667,https://yt3.ggpht.com/S_sp6RiTLoR5h8MXjhzwcOwzq1NPHBQTniKvfNDqA5Bgea_-pf-hqOXDK1-sGGeUGwv-_CxU=s88-c-k-c0x00ffffff-no-rj,,
07b9e0f7118446be96cc2d12f5d8ad02,3350,119473,https://yt3.ggpht.com/3igruLIMVTyzeIqVi0f0x3j7zsHr19xrKTYpFG6p13B8ldf73MjWb2RpdtTjj9k9qsOYEnHa-g=s88-c-k-c0x00ffffff-no-rj,11837,https://static-cdn.jtvnw.net/jtv_user_pictures/43b4f4da-3f0c-4b2c-bf67-3e29ec398faf-profile_image-300x300.png
07fec8d9014a41c28216345a5adb1533,106,489,https://yt3.ggpht.com/Di48DzQnD3w1T5HSInro_FJR48Whyw_LNPLwNUOBvFb-Z0138NwJd-CMPxeM3Chp-yYnUiaMDQ=s88-c-k-c0x00ffffff-no-rj,513,https://static-cdn.jtvnw.net/jtv_user_pictures/b1c2b270-5dc6-4586-b754-00dc8a96f8cc-profile_image-300x300.png
0800162a149e420ea0386c9506e710b7,628,26511,https://yt3.ggpht.com/NnFe1KUgvViHPiapb0wUIkRX0ajH-lEPMmK7v1jTQByZcGnSZI8GioLdW53ABhk_2vjjkxvnGg=s88-c-k-c0x00ffffff-no-rj,,
08158657738a4949bce0cbbc36c4e701,1940,73027,https://yt3.ggpht.com/7vDw6Hi_vBuSBz5PojRGrg3wBvFI9k35jP6MeOWjnbvh3FemqpZm9hyjKYV9nfneCQDSDsXF=s88-c-k-c0x00ffffff-no-rj,,
08184fac3ec1408a8009f2e7078794dd,11900,518045,https://yt3.ggpht.com/a4EYbl1Jrk9aZ9_ccPrDpyoJmWHkXEzcaTO9PyCyejzluwAyi9rMcRdmFOMcsGx6nfEaTtLq4w=s88-c-k-c0x00ffffff-no-rj,,
0825b7bbb6134dbc98a132cc1782fb1f,24500,755887,https://yt3.ggpht.com/DWmpSLcZvB1OtsePcODhpMIMEP1mhitJr9twhJQfNRdtzPZl20b4gy74JGh1VQYftZ4ed1Wk=s88-c-k-c0x00ffffff-no-rj,,
08268c9de16e423381e351aeef8f7ffb,683,15957,https://yt3.ggpht.com/dsTI7vY3y1dVcSc0lQ9tmiLoIWE0SsugDLJceUbi86A98BO3MxBHyJnN4pZOMwrRZbcfZVt04g=s88-c-k-c0x00ffffff-no-rj,,
084c49d869114256af18c13cc4b56414,1890,28330,https://yt3.ggpht.com/YNwkYDmMAlnrLP3SiWl64XoJD03abV6cafsRxPWgl8p_vW6diRkbhuVr2g-as2UEp4BmS9F2=s88-c-k-c0x00ffffff-no-rj,,
0851296bdf4c4516b2506b8cce5151da,5680,535239,https://yt3.ggpht.com/3G_SYEazqRq2SIvIfJTuyV8dt3xJyW5-J_TJOZx-EQJb1FhoqwGel5XQZgVQd5lUQnOS9kBTIg=s88-c-k-c0x00ffffff-no-rj,,
08959069eae342deab6803454669b60e,467,0,https://yt3.ggpht.com/Hd1CAtwLZ1kGM-7bztPmONpLOL87afyzfNJXTC7ZjxO5bsUgB4vimckV93hwQHF6Y7f2KzwlLQ=s88-c-k-c0x00ffffff-no-rj,,
